field_order,field_name,data_type,feature_group,source_table,time_scope,business_definition,calculation_rule,model_use_recommendation,leakage_status
17,user_high_intent_action_pct_1d,DOUBLE,用户多时间窗口特征,user_time_features,近1天,近1天的高意向行为次数占比，用于刻画用户多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
18,user_total_actions_3d,BIGINT,用户多时间窗口特征,user_time_features,近3天,近3天的行为总次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
19,user_view_count_3d,BIGINT,用户多时间窗口特征,user_time_features,近3天,近3天的浏览行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
20,user_favorite_count_3d,BIGINT,用户多时间窗口特征,user_time_features,近3天,近3天的收藏行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
21,user_cart_count_3d,BIGINT,用户多时间窗口特征,user_time_features,近3天,近3天的加购行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
22,user_purchase_count_3d,BIGINT,用户多时间窗口特征,user_time_features,近3天,近3天的购买行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
23,user_unique_items_3d,BIGINT,用户多时间窗口特征,user_time_features,近3天,近3天的不同商品数量，用于刻画用户多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
24,user_unique_categories_3d,BIGINT,用户多时间窗口特征,user_time_features,近3天,近3天的不同品类数量，用于刻画用户多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
25,user_active_days_3d,BIGINT,用户多时间窗口特征,user_time_features,近3天,近3天的活跃天数，用于刻画用户多时间窗口特征。,由user_time_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
26,user_purchase_action_pct_3d,DOUBLE,用户多时间窗口特征,user_time_features,近3天,近3天的购买行为次数占比，用于刻画用户多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
27,user_high_intent_action_pct_3d,DOUBLE,用户多时间窗口特征,user_time_features,近3天,近3天的高意向行为次数占比，用于刻画用户多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
28,user_total_actions_7d,BIGINT,用户多时间窗口特征,user_time_features,近7天,近7天的行为总次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
29,user_view_count_7d,BIGINT,用户多时间窗口特征,user_time_features,近7天,近7天的浏览行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
30,user_favorite_count_7d,BIGINT,用户多时间窗口特征,user_time_features,近7天,近7天的收藏行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
31,user_cart_count_7d,BIGINT,用户多时间窗口特征,user_time_features,近7天,近7天的加购行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
32,user_purchase_count_7d,BIGINT,用户多时间窗口特征,user_time_features,近7天,近7天的购买行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
33,user_unique_items_7d,BIGINT,用户多时间窗口特征,user_time_features,近7天,近7天的不同商品数量，用于刻画用户多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
34,user_unique_categories_7d,BIGINT,用户多时间窗口特征,user_time_features,近7天,近7天的不同品类数量，用于刻画用户多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
35,user_active_days_7d,BIGINT,用户多时间窗口特征,user_time_features,近7天,近7天的活跃天数，用于刻画用户多时间窗口特征。,由user_time_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
36,user_purchase_action_pct_7d,DOUBLE,用户多时间窗口特征,user_time_features,近7天,近7天的购买行为次数占比，用于刻画用户多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
37,user_high_intent_action_pct_7d,DOUBLE,用户多时间窗口特征,user_time_features,近7天,近7天的高意向行为次数占比，用于刻画用户多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
38,user_total_actions_14d,BIGINT,用户多时间窗口特征,user_time_features,近14天,近14天的行为总次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
39,user_view_count_14d,BIGINT,用户多时间窗口特征,user_time_features,近14天,近14天的浏览行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
40,user_favorite_count_14d,BIGINT,用户多时间窗口特征,user_time_features,近14天,近14天的收藏行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
41,user_cart_count_14d,BIGINT,用户多时间窗口特征,user_time_features,近14天,近14天的加购行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
42,user_purchase_count_14d,BIGINT,用户多时间窗口特征,user_time_features,近14天,近14天的购买行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
43,user_unique_items_14d,BIGINT,用户多时间窗口特征,user_time_features,近14天,近14天的不同商品数量，用于刻画用户多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
44,user_unique_categories_14d,BIGINT,用户多时间窗口特征,user_time_features,近14天,近14天的不同品类数量，用于刻画用户多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
45,user_active_days_14d,BIGINT,用户多时间窗口特征,user_time_features,近14天,近14天的活跃天数，用于刻画用户多时间窗口特征。,由user_time_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
46,user_purchase_action_pct_14d,DOUBLE,用户多时间窗口特征,user_time_features,近14天,近14天的购买行为次数占比，用于刻画用户多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
47,user_high_intent_action_pct_14d,DOUBLE,用户多时间窗口特征,user_time_features,近14天,近14天的高意向行为次数占比，用于刻画用户多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
48,user_total_actions_30d,BIGINT,用户多时间窗口特征,user_time_features,近30天,近30天的行为总次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
49,user_view_count_30d,BIGINT,用户多时间窗口特征,user_time_features,近30天,近30天的浏览行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
50,user_favorite_count_30d,BIGINT,用户多时间窗口特征,user_time_features,近30天,近30天的收藏行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
51,user_cart_count_30d,BIGINT,用户多时间窗口特征,user_time_features,近30天,近30天的加购行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
52,user_purchase_count_30d,BIGINT,用户多时间窗口特征,user_time_features,近30天,近30天的购买行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
53,user_unique_items_30d,BIGINT,用户多时间窗口特征,user_time_features,近30天,近30天的不同商品数量，用于刻画用户多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
54,user_unique_categories_30d,BIGINT,用户多时间窗口特征,user_time_features,近30天,近30天的不同品类数量，用于刻画用户多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
55,user_active_days_30d,BIGINT,用户多时间窗口特征,user_time_features,近30天,近30天的活跃天数，用于刻画用户多时间窗口特征。,由user_time_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
56,user_purchase_action_pct_30d,DOUBLE,用户多时间窗口特征,user_time_features,近30天,近30天的购买行为次数占比，用于刻画用户多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
57,user_high_intent_action_pct_30d,DOUBLE,用户多时间窗口特征,user_time_features,近30天,近30天的高意向行为次数占比，用于刻画用户多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
58,item_category_count,BIGINT,商品多时间窗口特征,item_time_features,完整观察期,商品多时间窗口特征中的聚合计数指标。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
59,item_first_action_time,TIMESTAMP,商品多时间窗口特征,item_time_features,完整观察期,完整观察期的首次行为时间，用于刻画商品多时间窗口特征。,按对应主键取MIN(time),建议使用对应间隔特征，原始时间字段可剔除,通过：仅使用特征截止时间之前的数据
60,item_last_action_time,TIMESTAMP,商品多时间窗口特征,item_time_features,完整观察期,完整观察期的最近行为时间，用于刻画商品多时间窗口特征。,按对应主键取MAX(time),建议使用对应间隔特征，原始时间字段可剔除,通过：仅使用特征截止时间之前的数据
61,item_recency_hours,BIGINT,商品多时间窗口特征,item_time_features,完整观察期,完整观察期的距特征截止时间的小时数，用于刻画商品多时间窗口特征。,特征截止时间与最近行为时间的小时差,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
62,item_total_actions_1d,BIGINT,商品多时间窗口特征,item_time_features,近1天,近1天的行为总次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
63,item_view_count_1d,BIGINT,商品多时间窗口特征,item_time_features,近1天,近1天的浏览行为次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
64,item_favorite_count_1d,BIGINT,商品多时间窗口特征,item_time_features,近1天,近1天的收藏行为次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
65,item_cart_count_1d,BIGINT,商品多时间窗口特征,item_time_features,近1天,近1天的加购行为次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
66,item_purchase_count_1d,BIGINT,商品多时间窗口特征,item_time_features,近1天,近1天的购买行为次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
67,item_unique_users_1d,BIGINT,商品多时间窗口特征,item_time_features,近1天,近1天的不同用户数量，用于刻画商品多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
68,item_unique_buyers_1d,BIGINT,商品多时间窗口特征,item_time_features,近1天,近1天的不同购买用户数量，用于刻画商品多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
69,item_purchase_action_pct_1d,DOUBLE,商品多时间窗口特征,item_time_features,近1天,近1天的购买行为次数占比，用于刻画商品多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
70,item_high_intent_action_pct_1d,DOUBLE,商品多时间窗口特征,item_time_features,近1天,近1天的高意向行为次数占比，用于刻画商品多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
71,item_total_actions_7d,BIGINT,商品多时间窗口特征,item_time_features,近7天,近7天的行为总次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
72,item_view_count_7d,BIGINT,商品多时间窗口特征,item_time_features,近7天,近7天的浏览行为次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
73,item_favorite_count_7d,BIGINT,商品多时间窗口特征,item_time_features,近7天,近7天的收藏行为次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
74,item_cart_count_7d,BIGINT,商品多时间窗口特征,item_time_features,近7天,近7天的加购行为次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
75,item_purchase_count_7d,BIGINT,商品多时间窗口特征,item_time_features,近7天,近7天的购买行为次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
76,item_unique_users_7d,BIGINT,商品多时间窗口特征,item_time_features,近7天,近7天的不同用户数量，用于刻画商品多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
77,item_unique_buyers_7d,BIGINT,商品多时间窗口特征,item_time_features,近7天,近7天的不同购买用户数量，用于刻画商品多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
78,item_purchase_action_pct_7d,DOUBLE,商品多时间窗口特征,item_time_features,近7天,近7天的购买行为次数占比，用于刻画商品多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
79,item_high_intent_action_pct_7d,DOUBLE,商品多时间窗口特征,item_time_features,近7天,近7天的高意向行为次数占比，用于刻画商品多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
80,item_total_actions_30d,BIGINT,商品多时间窗口特征,item_time_features,近30天,近30天的行为总次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
81,item_view_count_30d,BIGINT,商品多时间窗口特征,item_time_features,近30天,近30天的浏览行为次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
82,item_favorite_count_30d,BIGINT,商品多时间窗口特征,item_time_features,近30天,近30天的收藏行为次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
83,item_cart_count_30d,BIGINT,商品多时间窗口特征,item_time_features,近30天,近30天的加购行为次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
84,item_purchase_count_30d,BIGINT,商品多时间窗口特征,item_time_features,近30天,近30天的购买行为次数，用于刻画商品多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
85,item_unique_users_30d,BIGINT,商品多时间窗口特征,item_time_features,近30天,近30天的不同用户数量，用于刻画商品多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
86,item_unique_buyers_30d,BIGINT,商品多时间窗口特征,item_time_features,近30天,近30天的不同购买用户数量，用于刻画商品多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
87,item_purchase_action_pct_30d,DOUBLE,商品多时间窗口特征,item_time_features,近30天,近30天的购买行为次数占比，用于刻画商品多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
88,item_high_intent_action_pct_30d,DOUBLE,商品多时间窗口特征,item_time_features,近30天,近30天的高意向行为次数占比，用于刻画商品多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
89,category_first_action_time,TIMESTAMP,品类多时间窗口特征,category_time_features,完整观察期,完整观察期的首次行为时间，用于刻画品类多时间窗口特征。,按对应主键取MIN(time),建议使用对应间隔特征，原始时间字段可剔除,通过：仅使用特征截止时间之前的数据
90,category_last_action_time,TIMESTAMP,品类多时间窗口特征,category_time_features,完整观察期,完整观察期的最近行为时间，用于刻画品类多时间窗口特征。,按对应主键取MAX(time),建议使用对应间隔特征，原始时间字段可剔除,通过：仅使用特征截止时间之前的数据
91,category_recency_hours,BIGINT,品类多时间窗口特征,category_time_features,完整观察期,完整观察期的距特征截止时间的小时数，用于刻画品类多时间窗口特征。,特征截止时间与最近行为时间的小时差,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
92,category_total_actions_1d,BIGINT,品类多时间窗口特征,category_time_features,近1天,近1天的行为总次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
93,category_view_count_1d,BIGINT,品类多时间窗口特征,category_time_features,近1天,近1天的浏览行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
94,category_favorite_count_1d,BIGINT,品类多时间窗口特征,category_time_features,近1天,近1天的收藏行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
95,category_cart_count_1d,BIGINT,品类多时间窗口特征,category_time_features,近1天,近1天的加购行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
96,category_purchase_count_1d,BIGINT,品类多时间窗口特征,category_time_features,近1天,近1天的购买行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
97,category_unique_users_1d,BIGINT,品类多时间窗口特征,category_time_features,近1天,近1天的不同用户数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
98,category_unique_items_1d,BIGINT,品类多时间窗口特征,category_time_features,近1天,近1天的不同商品数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
99,category_unique_buyers_1d,BIGINT,品类多时间窗口特征,category_time_features,近1天,近1天的不同购买用户数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
100,category_purchase_action_pct_1d,DOUBLE,品类多时间窗口特征,category_time_features,近1天,近1天的购买行为次数占比，用于刻画品类多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
101,category_high_intent_action_pct_1d,DOUBLE,品类多时间窗口特征,category_time_features,近1天,近1天的高意向行为次数占比，用于刻画品类多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
102,category_total_actions_3d,BIGINT,品类多时间窗口特征,category_time_features,近3天,近3天的行为总次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
103,category_view_count_3d,BIGINT,品类多时间窗口特征,category_time_features,近3天,近3天的浏览行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
104,category_favorite_count_3d,BIGINT,品类多时间窗口特征,category_time_features,近3天,近3天的收藏行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
105,category_cart_count_3d,BIGINT,品类多时间窗口特征,category_time_features,近3天,近3天的加购行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
106,category_purchase_count_3d,BIGINT,品类多时间窗口特征,category_time_features,近3天,近3天的购买行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
107,category_unique_users_3d,BIGINT,品类多时间窗口特征,category_time_features,近3天,近3天的不同用户数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
108,category_unique_items_3d,BIGINT,品类多时间窗口特征,category_time_features,近3天,近3天的不同商品数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
109,category_unique_buyers_3d,BIGINT,品类多时间窗口特征,category_time_features,近3天,近3天的不同购买用户数量，用于刻画品类多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
110,category_purchase_action_pct_3d,DOUBLE,品类多时间窗口特征,category_time_features,近3天,近3天的购买行为次数占比，用于刻画品类多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
111,category_high_intent_action_pct_3d,DOUBLE,品类多时间窗口特征,category_time_features,近3天,近3天的高意向行为次数占比，用于刻画品类多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
112,category_total_actions_7d,BIGINT,品类多时间窗口特征,category_time_features,近7天,近7天的行为总次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
113,category_view_count_7d,BIGINT,品类多时间窗口特征,category_time_features,近7天,近7天的浏览行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
114,category_favorite_count_7d,BIGINT,品类多时间窗口特征,category_time_features,近7天,近7天的收藏行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
115,category_cart_count_7d,BIGINT,品类多时间窗口特征,category_time_features,近7天,近7天的加购行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
116,category_purchase_count_7d,BIGINT,品类多时间窗口特征,category_time_features,近7天,近7天的购买行为次数，用于刻画品类多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
